file,type,length,modification,result
197,Folk,15,original,"{""status"":{""msg"":""Success"",""code"":0,""version"":""1.0""},""result_type"":0,""cost_time"":0.80999994277954,""metadata"":{""timestamp_utc"":""2024-06-11 18:43:12"",""custom_files"":[{""title"":""000197.mp3.db"",""Album"":""Blue Piano"",""Title"":""Paino 2"",""score"":100,""db_begin_time_offset_ms"":2700,""db_end_time_offset_ms"":14600,""sample_end_time_offset_ms"":11900,""bucket_id"":""22150"",""sample_begin_time_offset_ms"":0,""acrid"":""d50adbe92c666ccb1bd46ac04815fb2b"",""duration_ms"":29700,""Track Number"":"""",""Genre"":""Folk"",""play_offset_ms"":14700,""Artist"":""Askew Ed"",""Comment"":""""},{""title"":""000197.mp3.db"",""Album"":""Blue Piano"",""Title"":""Paino 2"",""score"":100,""db_begin_time_offset_ms"":2700,""db_end_time_offset_ms"":14600,""sample_end_time_offset_ms"":11900,""bucket_id"":""22150"",""sample_begin_time_offset_ms"":0,""acrid"":""b8ffba07217bfa4250a068c3b0254945"",""duration_ms"":29700,""Track Number"":"""",""Genre"":""Folk"",""play_offset_ms"":14700,""Artist"":""Askew Ed"",""Comment"":""""}]}}
"
200,Folk,15,original,"{""status"":{""version"":""1.0"",""msg"":""Success"",""code"":0},""result_type"":0,""cost_time"":3.2630000114441,""metadata"":{""custom_files"":[{""acrid"":""761dd342b3a087a4eb75b6422ba088dd"",""bucket_id"":""22150"",""duration_ms"":29700,""Artist"":""Askew Ed"",""score"":100,""db_begin_time_offset_ms"":2740,""db_end_time_offset_ms"":14120,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11380,""play_offset_ms"":14680,""Album"":""Blue Piano"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""title"":""000200.mp3.db"",""Title"":""Baby Come Home""},{""acrid"":""43a6366c5cb078906b13f93a3d124e23"",""bucket_id"":""22150"",""duration_ms"":29700,""Artist"":""Askew Ed"",""score"":100,""db_begin_time_offset_ms"":2740,""db_end_time_offset_ms"":14120,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11380,""play_offset_ms"":14680,""Album"":""Blue Piano"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""title"":""000200.mp3.db"",""Title"":""Baby Come Home""}],""timestamp_utc"":""2024-06-11 18:43:16""}}
"
203,Folk,15,original,"{""cost_time"":1.444000005722,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14500,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":14680,""acrid"":""1a1395663ed82d4ac7822b995f46f5e2"",""Album"":""Blue Piano"",""Title"":""Song For R"",""score"":100,""Artist"":""Askew Ed"",""bucket_id"":""22150"",""title"":""000203.mp3.db"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""duration_ms"":29700,""db_begin_time_offset_ms"":2740},{""db_end_time_offset_ms"":14500,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":14680,""acrid"":""7d065a0c244b79bb2c1628c07d93e532"",""Album"":""Blue Piano"",""Title"":""Song For R"",""score"":100,""Artist"":""Askew Ed"",""bucket_id"":""22150"",""title"":""000203.mp3.db"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""duration_ms"":29700,""db_begin_time_offset_ms"":2740}],""timestamp_utc"":""2024-06-11 18:43:18""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
204,Folk,15,original,"{""cost_time"":1.6949999332428,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14560,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11680,""play_offset_ms"":14580,""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""acrid"":""361bc432b228f41264dca0d606f3dcad"",""Album"":""Blue Piano"",""score"":100,""title"":""000204.mp3.db"",""Artist"":""Askew Ed"",""db_begin_time_offset_ms"":2880,""bucket_id"":""22150"",""duration_ms"":29700,""Title"":""My Dream""},{""db_end_time_offset_ms"":14560,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11680,""play_offset_ms"":14580,""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""acrid"":""b922c44e1584b4b66241f4faf0b70a29"",""Album"":""Blue Piano"",""score"":100,""title"":""000204.mp3.db"",""Artist"":""Askew Ed"",""db_begin_time_offset_ms"":2880,""bucket_id"":""22150"",""duration_ms"":29700,""Title"":""My Dream""}],""timestamp_utc"":""2024-06-11 18:43:21""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
207,Folk,15,original,"{""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 18:43:25"",""custom_files"":[{""Album"":""Blue Piano"",""Artist"":""Askew Ed"",""title"":""000207.mp3.db"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""acrid"":""5242f3e2f61445dcbfd1b5853f2b38c5"",""play_offset_ms"":14560,""score"":100,""sample_begin_time_offset_ms"":0,""db_end_time_offset_ms"":12960,""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":2640,""Title"":""Piano 3"",""sample_end_time_offset_ms"":10320},{""Album"":""Blue Piano"",""Artist"":""Askew Ed"",""title"":""000207.mp3.db"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""acrid"":""be4bc1d9188d47421f7233b93c1d3612"",""play_offset_ms"":14560,""score"":100,""sample_begin_time_offset_ms"":0,""db_end_time_offset_ms"":12960,""bucket_id"":""22150"",""duration_ms"":29700,""db_begin_time_offset_ms"":2640,""Title"":""Piano 3"",""sample_end_time_offset_ms"":10320}]},""cost_time"":2.6840000152588}
"
210,Folk,15,original,"{""cost_time"":0.77300000190735,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""},""result_type"":0,""metadata"":{""timestamp_utc"":""2024-06-11 18:43:26"",""custom_files"":[{""db_end_time_offset_ms"":14480,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11660,""play_offset_ms"":14660,""Title"":""In the French Court"",""title"":""000210.mp3.db"",""Artist"":""Askew Ed"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""acrid"":""7893174683c11c23e1235c601bbc8492"",""score"":100,""duration_ms"":29740,""Album"":""Blue Piano"",""bucket_id"":""22150"",""db_begin_time_offset_ms"":2820},{""db_end_time_offset_ms"":14480,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11660,""play_offset_ms"":14660,""Title"":""In the French Court"",""title"":""000210.mp3.db"",""Artist"":""Askew Ed"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""acrid"":""c39031ec0d91fde0a48b10e57f9cd6ed"",""score"":100,""duration_ms"":29740,""Album"":""Blue Piano"",""bucket_id"":""22150"",""db_begin_time_offset_ms"":2820}]}}
"
211,Folk,15,original,"{""status"":{""version"":""1.0"",""msg"":""Success"",""code"":0},""result_type"":0,""cost_time"":2.2960000038147,""metadata"":{""custom_files"":[{""Title"":""In America"",""Artist"":""Askew Ed"",""acrid"":""139bbbd154e944ec84aafe9536c257a2"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""bucket_id"":""22150"",""duration_ms"":29680,""score"":100,""db_begin_time_offset_ms"":2780,""db_end_time_offset_ms"":14140,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11360,""play_offset_ms"":14620,""Album"":""Blue Piano"",""title"":""000211.mp3.db""},{""Title"":""In America"",""Artist"":""Askew Ed"",""acrid"":""4199ad5e128614335fd966e7ed316007"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""bucket_id"":""22150"",""duration_ms"":29680,""score"":100,""db_begin_time_offset_ms"":2780,""db_end_time_offset_ms"":14140,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11360,""play_offset_ms"":14620,""Album"":""Blue Piano"",""title"":""000211.mp3.db""},{""Title"":""When I Arive"",""Artist"":""Askew Ed"",""acrid"":""12c0fd7768e3449b3d99913a2b06d866"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""bucket_id"":""22150"",""duration_ms"":29700,""score"":100,""db_begin_time_offset_ms"":5580,""db_end_time_offset_ms"":12780,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":7200,""play_offset_ms"":16760,""Album"":""Blue Piano"",""title"":""000212.mp3.db""},{""Title"":""When I Arive"",""Artist"":""Askew Ed"",""acrid"":""d05f3b8d4825a73daed45dd5b8256e2a"",""Comment"":"""",""Track Number"":"""",""Genre"":""Folk"",""bucket_id"":""22150"",""duration_ms"":29700,""score"":100,""db_begin_time_offset_ms"":5580,""db_end_time_offset_ms"":12780,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":7200,""play_offset_ms"":16760,""Album"":""Blue Piano"",""title"":""000212.mp3.db""}],""timestamp_utc"":""2024-06-11 18:43:30""}}
"
212,Folk,15,original,"{""cost_time"":3.1180000305176,""metadata"":{""custom_files"":[{""db_end_time_offset_ms"":14580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11700,""play_offset_ms"":14700,""acrid"":""d05f3b8d4825a73daed45dd5b8256e2a"",""Album"":""Blue Piano"",""Title"":""When I Arive"",""Genre"":""Folk"",""Artist"":""Askew Ed"",""score"":100,""title"":""000212.mp3.db"",""Comment"":"""",""bucket_id"":""22150"",""Track Number"":"""",""duration_ms"":29700,""db_begin_time_offset_ms"":2880},{""db_end_time_offset_ms"":14580,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11700,""play_offset_ms"":14700,""acrid"":""12c0fd7768e3449b3d99913a2b06d866"",""Album"":""Blue Piano"",""Title"":""When I Arive"",""Genre"":""Folk"",""Artist"":""Askew Ed"",""score"":100,""title"":""000212.mp3.db"",""Comment"":"""",""bucket_id"":""22150"",""Track Number"":"""",""duration_ms"":29700,""db_begin_time_offset_ms"":2880},{""db_end_time_offset_ms"":10500,""sample_begin_time_offset_ms"":6200,""sample_end_time_offset_ms"":10060,""play_offset_ms"":12440,""acrid"":""139bbbd154e944ec84aafe9536c257a2"",""Album"":""Blue Piano"",""Title"":""In America"",""Genre"":""Folk"",""Artist"":""Askew Ed"",""score"":84,""title"":""000211.mp3.db"",""Comment"":"""",""bucket_id"":""22150"",""Track Number"":"""",""duration_ms"":29680,""db_begin_time_offset_ms"":6640},{""db_end_time_offset_ms"":10500,""sample_begin_time_offset_ms"":6200,""sample_end_time_offset_ms"":10060,""play_offset_ms"":12440,""acrid"":""4199ad5e128614335fd966e7ed316007"",""Album"":""Blue Piano"",""Title"":""In America"",""Genre"":""Folk"",""Artist"":""Askew Ed"",""score"":84,""title"":""000211.mp3.db"",""Comment"":"""",""bucket_id"":""22150"",""Track Number"":"""",""duration_ms"":29680,""db_begin_time_offset_ms"":6640}],""timestamp_utc"":""2024-06-11 18:43:34""},""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
213,Pop,15,original,"{""metadata"":{""timestamp_utc"":""2024-06-11 18:43:35"",""custom_files"":[{""db_begin_time_offset_ms"":3000,""db_end_time_offset_ms"":14480,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11480,""play_offset_ms"":14480,""Artist"":""Au"",""score"":100,""Comment"":"""",""Track Number"":"""",""Genre"":""Pop"",""title"":""000213.mp3.db"",""Album"":""Au"",""acrid"":""92c31970e7983782d091b532f9c48dd8"",""Title"":""Boute"",""bucket_id"":""22150"",""duration_ms"":29700},{""db_begin_time_offset_ms"":3000,""db_end_time_offset_ms"":14480,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11480,""play_offset_ms"":14480,""Artist"":""Au"",""score"":100,""Comment"":"""",""Track Number"":"""",""Genre"":""Pop"",""title"":""000213.mp3.db"",""Album"":""Au"",""acrid"":""48cf8dc3fd463c448d2eb0216576324c"",""Title"":""Boute"",""bucket_id"":""22150"",""duration_ms"":29700}]},""cost_time"":0.79500007629395,""result_type"":0,""status"":{""code"":0,""version"":""1.0"",""msg"":""Success""}}
"
255,Pop,15,original,"{""status"":{""version"":""1.0"",""msg"":""Success"",""code"":0},""result_type"":0,""cost_time"":1.1619999408722,""metadata"":{""custom_files"":[{""acrid"":""89847f6864edb9751ac7e97e65747df4"",""bucket_id"":""22150"",""duration_ms"":29700,""score"":100,""db_begin_time_offset_ms"":2700,""Artist"":""Bird Names"",""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":14700,""Title"":""We Want to be Old"",""db_end_time_offset_ms"":14460,""title"":""000255.mp3.db"",""Album"":""On Opaque Things"",""Comment"":"""",""Track Number"":"""",""Genre"":""Pop""},{""acrid"":""ccec61687f4e9d741aafe0d94fa83d05"",""bucket_id"":""22150"",""duration_ms"":29700,""score"":100,""db_begin_time_offset_ms"":2700,""Artist"":""Bird Names"",""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11760,""play_offset_ms"":14700,""Title"":""We Want to be Old"",""db_end_time_offset_ms"":14460,""title"":""000255.mp3.db"",""Album"":""On Opaque Things"",""Comment"":"""",""Track Number"":"""",""Genre"":""Pop""}],""timestamp_utc"":""2024-06-11 18:43:37""}}
"
256,Metal,15,original,"{""status"":{""code"":0,""msg"":""Success"",""version"":""1.0""},""cost_time"":2.164999961853,""metadata"":{""timestamp_utc"":""2024-06-11 18:43:41"",""custom_files"":[{""score"":100,""db_begin_time_offset_ms"":2660,""db_end_time_offset_ms"":14200,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11540,""play_offset_ms"":14640,""Album"":""Black Elk"",""bucket_id"":""22150"",""duration_ms"":29700,""Artist"":""Black Elk"",""title"":""000256.mp3.db"",""Comment"":"""",""Track Number"":"""",""Genre"":""Metal"",""acrid"":""f78d1c9f64bca9d96feacd31b94734b9"",""Title"":""Toggle""},{""score"":100,""db_begin_time_offset_ms"":2660,""db_end_time_offset_ms"":14200,""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11540,""play_offset_ms"":14640,""Album"":""Black Elk"",""bucket_id"":""22150"",""duration_ms"":29700,""Artist"":""Black Elk"",""title"":""000256.mp3.db"",""Comment"":"""",""Track Number"":"""",""Genre"":""Metal"",""acrid"":""dcf0781aaca438d4b4eb18accc1d9eb2"",""Title"":""Toggle""}]},""result_type"":0}
"
368,Tecno,15,original,"{""status"":{""version"":""1.0"",""msg"":""Success"",""code"":0},""result_type"":0,""cost_time"":1.6170001029968,""metadata"":{""custom_files"":[{""acrid"":""283631723103177488b1733911eb27b3"",""Title"":""Vampires"",""Artist"":""Blah Blah Blah"",""duration_ms"":29680,""score"":100,""db_begin_time_offset_ms"":2700,""Comment"":"""",""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11800,""play_offset_ms"":14700,""Album"":""2\/30th Anniversary Blah Blah Blah"",""db_end_time_offset_ms"":14500,""title"":""000368.mp3.db"",""bucket_id"":""22150"",""Track Number"":"""",""Genre"":""Tecno""},{""acrid"":""722729e750f2c2fdb864a110e7e0deb5"",""Title"":""Vampires"",""Artist"":""Blah Blah Blah"",""duration_ms"":29680,""score"":100,""db_begin_time_offset_ms"":2700,""Comment"":"""",""sample_begin_time_offset_ms"":0,""sample_end_time_offset_ms"":11800,""play_offset_ms"":14700,""Album"":""2\/30th Anniversary Blah Blah Blah"",""db_end_time_offset_ms"":14500,""title"":""000368.mp3.db"",""bucket_id"":""22150"",""Track Number"":"""",""Genre"":""Tecno""}],""timestamp_utc"":""2024-06-11 18:43:43""}}
"
